"";"Rider";"WeekOfYear";"mon_intensity";"mon_duration";"mon_hr";"tue_intensity";"tue_duration";"tue_hr";"wed_intensity";"wed_duration";"wed_hr";"thu_intensity";"thu_duration";"thu_hr";"fri_intensity";"fri_duration";"fri_hr";"sat_intensity";"sat_duration";"sat_hr";"sun_intensity";"sun_duration";"sun_hr";"weekIntensity";"weekDuration";"weekHearthrate";"weekOveral";"bestAtlethes"
"522";"Rider2";"37/2013";0;0;0;1;4965;114,47;0;0;0;1;4592;113,75;0;0;0;2;19657;132,16;0;0;0;0,285714285714286;3,89208633093525;1,18433073712577;5,36213135377531;"good"
"523";"Rider4";"37/2013";0;0;0;1;8358;116,66;1;8110;116,08;2;9441;124,3;1;83055;112,83;1;8379;95,45;0;0;0;0,428571428571429;15,6332267519318;1,85783298826777;17,919631168771;"good"
"524";"Rider3";"52/2012";2;4253;139,71;2;10754;132,32;0;0;0;2;9079;137,93;3;6728;143,71;2;12811;123,78;0;0;0;0,785714285714286;5,81201705302425;2,2263301455848;8,82406148432334;"good"
"525";"Rider5";"52/2012";0;0;0;0;0;0;0;0;0;2;9514;132,09;2;5647;132,11;0;0;0;0;0;0;0,285714285714286;2,01985078603784;0,868250681915278;3,1738157536674;"bad"
"526";"Rider2";"52/2012";2;11610;127,35;2;5096;124,15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,285714285714286;2,22568611777245;0,826514180551448;3,33791458403818;"bad"
"527";"Rider1";"52/2012";0;0;0;0;0;0;0;0;0;2;7792;138,76;0;0;0;2;21537;127,73;3;3992;145,91;0,5;4,4392486011191;1,35528607578297;6,29453467690207;"good"
"528";"Rider3";"9/2012";2;2314;124,93;0;0;0;0;0;0;2;11068;133,86;2;7606;126,19;2;21776;119,26;2;10543;130,45;0,714285714285714;7,10191846522782;2,08580630319761;9,90201048271114;"good"
"529";"Rider1";"9/2012";0;0;0;2;7340;136,32;0;0;0;0;0;0;0;0;0;2;12361;134,75;0;0;0;0,285714285714286;2,62470023980815;0,890827828716028;3,80124235423847;"bad"
"530";"Rider4";"9/2012";0;0;0;0;0;0;3;12171;146,51;3;12148;141,7;2;12998;133,42;2;17959;132,29;1;11241;111,49;0,785714285714286;8,86184385824673;2,18676262775642;11,8343207717174;"good"
"531";"Rider3";"28/2012";0;0;0;2;8947;125,29;2;7337;132,26;0;0;0;3;248;154,7;2;15145;136,19;2;7927;129,56;0,785714285714286;5,27631228350653;2,22813763186434;8,29016420108515;"good"
"532";"Rider4";"28/2012";0;0;0;3;18001;141,57;2;7181;126,33;0;0;0;1;1604;114,81;0;0;0;3;1454;168,41;0,642857142857143;3,76232347455369;1,81116697886884;6,21634759627968;"good"
"533";"Rider3";"8/2012";0;0;0;0;0;0;0;0;0;0;0;0;2;81863;133,92;2;8017;130,59;2;15173;131,99;0,428571428571429;13,9958699706901;1,30303329061093;15,7274746898725;"good"
"534";"Rider5";"8/2012";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6892;138,83;0;0;0;0,142857142857143;0,918198774313882;0,456242400341779;1,5172983175128;"bad"
"535";"Rider4";"8/2012";0;0;0;2;10119;133,21;2;10399;140,65;2;18311;135,81;2;1736;130,66;2;14751;132,43;2;14464;140,26;0,857142857142857;9,29656274980016;2,67185908179697;12,82556468874;"good"
"536";"Rider3";"34/2011";0;0;0;2;9783;136,67;2;12027;137,29;0;0;0;0;0;0;2;3980;139,41;3;13092;158,5;0,642857142857143;5,18012256861178;1,8793585066877;7,70233821815662;"good"
"537";"Rider5";"34/2011";0;0;0;0;0;0;0;0;0;2;5011;119,78;2;6179;123,93;0;0;0;2;9987;119,25;0,428571428571429;2,82134292565947;1,19280949094614;4,44272384517704;"bad"
"538";"Rider4";"34/2011";0;0;0;3;12417;146,42;3;9739;142,95;2;7567;128,35;0;0;0;2;2859;131,02;3;13505;164,83;0,928571428571429;6,14002131628031;2,34503269906997;9,4136254439217;"good"
"539";"Rider3";"15/2012";0;0;0;2;10265;121,37;2;9944;131,2;0;0;0;0;0;0;2;5707;130,92;1;26487;114,95;0,5;6,98148148148148;1,6380426566762;9,11952413815768;"good"
"540";"Rider4";"15/2012";1;4487;92,68;2;9614;134,43;3;10672;142,25;2;12378;125,74;1;9310;79,4;1;4756;108,75;3;9315;151,6;0,928571428571429;8,06448174793499;2,7435998554011;11,7366530319075;"good"
"541";"Rider3";"22/2012";0;0;0;0;0;0;0;0;0;2;6119;127,6;0;0;0;2;3502;122,92;3;6928;166,31;0,5;2,20476951771916;1,36984455617996;4,07461407389912;"bad"
"542";"Rider4";"22/2012";0;0;0;2;14431;138,21;1;5940;112,28;1;3239;86,74;0;0;0;3;1730;152,78;0;0;0;0,5;3,37596589395151;1,61033882151895;5,48630471547045;"good"
"543";"Rider3";"50/2012";0;0;0;2;2543;124,69;2;7517;134,06;0;0;0;0;0;0;2;9066;122,08;2;4484;130,63;0,571428571428571;3,14548361310951;1,68083078642085;5,39774297095893;"good"
"544";"Rider3";"16/2012";0;0;0;2;51265;138,26;2;7178;134,09;2;8642;130,46;0;0;0;2;92684;136,59;2;10394;139,32;0,714285714285714;22,6702637889688;2,23050379572119;25,6150532989757;"good"
"545";"Rider4";"16/2012";0;0;0;0;0;0;2;10415;135,52;0;0;0;0;0;0;3;6356;145,23;2;12334;133,06;0,5;3,87756461497469;1,35991981333596;5,73748442831065;"good"
"546";"Rider3";"51/2012";0;0;0;1;3514;113,45;0;0;0;2;6950;130,19;0;0;0;2;10963;127,63;2;9835;127,02;0,5;4,16493471889155;1,63754970587269;6,30248442476424;"good"
"547";"Rider5";"51/2012";0;0;0;0;0;0;2;7497;128,09;0;0;0;0;0;0;2;6198;140,1;0;0;0;0,285714285714286;1,82454036770584;0,881363173288639;2,99161782670876;"bad"
"548";"Rider2";"51/2012";0;0;0;2;3866;125,95;0;0;0;0;0;0;0;0;0;2;18601;127,22;0;0;0;0,285714285714286;2,99320543565148;0,832002366163857;4,11092208752962;"bad"
