"avgHeartRate";"intensity";"Rider_id";"duration";"dateOfTraining";"id";"cluster"
139.86;2.0;"Rider4";12931.0;8/5/14 9:51 AM;2631.0;"cluster_0"
141.61;3.0;"Rider4";5439.0;8/16/14 8:01 AM;2632.0;"cluster_1"
147.42;3.0;"Rider4";3135.0;10/11/13 2:59 PM;2633.0;"cluster_1"
114.83;1.0;"Rider4";13683.0;9/4/11 6:53 AM;2634.0;"cluster_2"
97.76;1.0;"Rider4";13415.0;4/12/14 8:15 AM;2635.0;"cluster_2"
136.42;2.0;"Rider4";6806.0;3/4/14 11:46 AM;2636.0;"cluster_0"
127.07;2.0;"Rider4";6344.0;1/8/14 3:14 PM;2637.0;"cluster_0"
130.66;2.0;"Rider4";1736.0;2/24/12 4:25 PM;2638.0;"cluster_0"
156.92;3.0;"Rider4";9111.0;4/29/12 7:46 AM;2639.0;"cluster_1"
134.72;2.0;"Rider4";7906.0;1/19/12 10:21 AM;2640.0;"cluster_0"
113.66;1.0;"Rider4";13465.0;8/15/14 8:28 AM;2641.0;"cluster_2"
140.24;2.0;"Rider4";9856.0;4/17/14 1:29 PM;2642.0;"cluster_0"
134.09;2.0;"Rider4";9335.0;1/28/15 10:42 AM;2643.0;"cluster_0"
123.53;2.0;"Rider4";18166.0;8/7/12 7:47 AM;2644.0;"cluster_0"
168.41;3.0;"Rider4";1454.0;7/15/12 8:28 AM;2645.0;"cluster_1"
112.08;1.0;"Rider4";19548.0;5/12/14 8:08 AM;2646.0;"cluster_2"
95.02;1.0;"Rider4";11877.0;8/9/14 9:57 AM;2647.0;"cluster_2"
121.06;2.0;"Rider4";7574.0;10/8/11 12:03 PM;2648.0;"cluster_0"
112.83;1.0;"Rider4";83055.0;9/13/13 10:49 AM;2649.0;"cluster_2"
102.53;1.0;"Rider4";12351.0;9/5/14 11:06 AM;2650.0;"cluster_2"
151.63;3.0;"Rider4";14954.0;7/23/14 9:33 AM;2651.0;"cluster_1"
112.57;1.0;"Rider4";10453.0;5/20/12 8:36 AM;2652.0;"cluster_2"
130.86;2.0;"Rider4";9947.0;2/19/12 8:54 AM;2653.0;"cluster_0"
107.57;1.0;"Rider4";746.0;3/10/13 11:56 AM;2654.0;"cluster_2"
127.13;2.0;"Rider4";11421.0;12/23/13 10:06 AM;2655.0;"cluster_0"
